GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Mobile_phone,Work_Phone,Phone,EMAIL_ID,Type_Occupation,Family_Members,label,Age,Years_Employed,Churn_Probability
M,Y,Y,0,180000.0,Pensioner,Higher education,Married,House / apartment,1,0,0,0,Unknown,2,1,51.0,0,0.5606719150996218
F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,Unknown,2,1,37.0,1,0.583516536841451
F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,Unknown,2,1,-0.0,1,0.3492563240360855
F,Y,N,0,166500.0,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,Unknown,2,1,37.0,1,0.5405211856879498
F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,Unknown,2,1,37.0,1,0.583516536841451
Unknown,Y,N,0,315000.0,Pensioner,Higher education,Married,House / apartment,1,1,1,0,Unknown,2,1,37.0,1,0.9869790959538404
F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,Unknown,2,1,37.0,1,0.583516536841451
F,N,N,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2,1,60.0,0,0.5988768428045053
M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,1,Core staff,3,1,49.0,1,0.8220369447051117
M,Y,Y,1,450000.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,1,Core staff,3,1,49.0,1,0.7474438017250054
M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,1,1,Core staff,1,1,49.0,1,0.6289192467950524
F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Cooking staff,2,1,51.0,2,0.5636474682123052
F,Y,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Cooking staff,2,1,51.0,2,0.5856519380682845
F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Cooking staff,2,1,51.0,2,0.5636474682123052
M,N,N,1,472500.0,Pensioner,Higher education,Married,With parents,1,0,0,1,Unknown,3,1,24.0,2,0.3153805616208295
M,N,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,1,46.0,0,0.719801447037151
M,N,Y,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Laborers,2,1,46.0,0,0.866671039109649
F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,1,0,0,0,Sales staff,1,1,51.0,6,0.40962991154343953
F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,1,0,0,0,Sales staff,1,1,51.0,6,0.40962991154343953
M,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,1,Unknown,2,1,51.0,4,0.53524761867503
M,N,N,0,202500.0,Working,Higher education,Single / not married,House / apartment,1,0,0,0,Unknown,1,1,35.0,11,0.2503546346493492
M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,1,Laborers,2,1,32.0,4,0.3208043242352172
M,N,Y,0,157500.0,Commercial associate,Higher education,Civil marriage,House / apartment,1,0,0,0,Accountants,2,1,48.0,2,0.5400126264254115
F,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,4,1,33.0,2,0.40301984478598085
F,N,Y,0,180000.0,Working,Higher education,Married,House / apartment,1,0,0,0,Laborers,2,1,43.0,2,0.5336345489453914
F,Y,Y,0,540000.0,Commercial associate,Higher education,Married,House / apartment,1,0,1,0,Unknown,2,1,43.0,0,0.6135047357001566
F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,Unknown,2,1,59.0,0,0.5733191723185302
F,N,Y,0,166500.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,Unknown,2,1,59.0,0,0.5887897502903102
Unknown,N,Y,0,292500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,High skill tech staff,2,1,30.0,9,0.964264580337082
M,N,N,0,540000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,2,1,54.0,1,0.8226186248873383
F,N,Y,0,90000.0,Working,Lower secondary,Single / not married,Rented apartment,1,0,0,0,Cleaning staff,2,1,32.0,13,0.8703280358111636
F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,1,Unknown,2,1,59.0,0,0.5733191723185302
F,N,N,0,135000.0,Working,Higher education,Single / not married,House / apartment,1,0,0,0,Laborers,1,1,29.0,6,0.33583432709700145
F,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Sales staff,3,1,43.0,1,0.32055775718901913
M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2,1,35.0,9,0.28816204852332505
